 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
Le Kafé,,,,40'x60' (2400 sq. ft.),40,60,MorningAfternoon,RS FE NP ,Tea,Coffee, ,, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,2nd Choice,,3rd Choice,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 1,1,SZ 1,,yes,yes,No,None,"Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)", , , , , ,1,1, , , ,1,1, , , ,1,1, , , ,3,3,0,0,0,6,Theme Camp,Morning,Afternoon,,,,50.00%,50.00%,0.00%,0.00%,0.00%,MorningAfternoon,MorningAfternoon,2,,3,1,,,,,RS ,FE ,NP ,RS FE NP 
Disco Tango Foxtrot—. DTF,,,,50'x60' (3000 sq. ft.),50,60,,MZ NP MF ,Tea, ,Medium,, , , ,Bar, , , ,Trees,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,3rd Choice,2nd Choice,,1st Choice,,,, ,No,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 2,2,SZ 2,,,yes,Medium,Evening (8pm-Midnight),"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",Afternoon (noon-4pm), , , ,1, , , ,1,1, ,1,1,1,1,1, ,1, , , ,1,2,2,3,1,9,Theme Camp,,,,,,11.11%,22.22%,22.22%,33.33%,11.11%,,,,3,2,,1,,,,MZ ,NP ,MF ,MZ NP MF 
Tiddy Space,,,,60'x60' (3600 sq. ft.),60,60,MorningEvening,FE MF NP ,Tea,Coffee, ,,Fire, ,Kids+, , , , ,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,3rd Choice,,,,,, ,No,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,No,Fire,Yes, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 1,1,SZ 1,,yes,yes,No,Evening (8pm-Midnight),"Morning (Sunrise-noon), Evening (8pm-Midnight)","Morning (Sunrise-noon), Evening (8pm-Midnight)",Morning (Sunrise-noon), , , ,1, ,1, , ,1, ,1, , ,1, ,1, , , , ,3,0,0,3,0,6,Theme Camp,Morning,,,Evening,,50.00%,0.00%,0.00%,50.00%,0.00%,MorningEvening,MorningEvening,1,2,3,,,,,,FE ,MF ,NP ,FE MF NP 
Brother Monks Temple Praya,,,,30'x30' (900 sq. ft.),30,30,AfternoonEvening,RS FE MD, , , ,, , , , , , ,UnEvEn,Trees,1,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,2nd Choice,,,1st Choice,,,,3rd Choice,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 1,1,SZ 1,,,,No,"Afternoon (noon-4pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Evening (8pm-Midnight)", ,1, ,1, , ,1, ,1, , ,1, ,1, , ,1, ,1, ,0,4,0,4,0,8,Theme Camp,,Afternoon,,Evening,,0.00%,50.00%,0.00%,50.00%,0.00%,AfternoonEvening,AfternoonEvening,2,,,1,,,,3,RS ,FE ,MD,RS FE MD
Held Space,,,,40'x80' (3200 sq. ft.),40,80,MorningEvening,NP RS MF ,Tea, , ,,Fire, , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We would prefer not to be placed.,,3rd Choice,1st Choice,2nd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 2,2,SZ 2,,,Yes,No,Evening (8pm-Midnight),"Morning (Sunrise-noon), Evening (8pm-Midnight)","Morning (Sunrise-noon), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Evening (8pm-Midnight)", , , ,1, ,1, , ,1, ,1, , ,1,1,1, , ,1, ,3,0,0,4,1,8,Theme Camp,Morning,,,Evening,,37.50%,0.00%,0.00%,50.00%,12.50%,MorningEvening,MorningEvening,,3,1,2,,,,,NP ,RS ,MF ,NP RS MF 
Bean Camp,,,,100'x50' (5000 sq. ft.),100,50,,MF , ,Coffee, ,Food, , , , , , , ,Trees,4,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,,,,, ,No,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,Food,yes,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,4,4,4,0,12,Theme Camp,,,,,,0.00%,33.33%,33.33%,33.33%,0.00%,,,,1,,,,,,,MF ,,,MF 
Future Self,,,,60'x60' (3600 sq. ft.),60,60,Afternoon,RS FE NP ,Tea, , ,,Fire, ,Kids, , , ,UnEvEn,Trees,3,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,2nd Choice,,3rd Choice,1st Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No,Fire,Yes, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 1,1,SZ 1,,,yes,No,None,Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm), , , , , , ,1, , , , ,1, , , , ,1, , , ,0,3,0,0,0,3,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,2,,3,1,,,,,RS ,FE ,NP ,RS FE NP 
Sanctum of The Eccentric,,,,60'x60' (3600 sq. ft.),60,60,Afternoon,MF UB MZ , , , ,, , ,Kids, , , ,UnEvEn, ,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,3rd Choice,,2nd Choice,,UnEvEn,Yes, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,,No,Evening (8pm-Midnight),Afternoon (noon-4pm),"Afternoon (noon-4pm), Late Night (Midnight-Sunrise)",Afternoon (noon-4pm), , , ,1, , ,1, , , , ,1, , ,1, ,1, , , ,0,3,0,1,1,5,Theme Camp,,Afternoon,,,,0.00%,60.00%,0.00%,20.00%,20.00%,Afternoon,Afternoon,,1,,,3,,2,,MF ,UB ,MZ ,MF UB MZ 
Camp Monkey Business,,,,100'x50' (5000 sq. ft.),100,50,EveningLate Night,UB LB MZ , , , ,, , , ,Bar, , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,3rd Choice,2nd Choice,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,,,,Big,None,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , , , , , , , ,1,1, , ,1,1,1, , ,1,1,1,0,0,2,3,3,8,Theme Camp,,,,Evening,Late Night,0.00%,0.00%,25.00%,37.50%,37.50%,EveningLate Night,EveningLate Night,,,,,3,2,1,,UB ,LB ,MZ ,UB LB MZ 
KBUTT,,,,100'x50' (5000 sq. ft.),100,50,,UB , , ,Medium,, , ,Kids, , , ,UnEvEn, ,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,,,1st Choice,,UnEvEn,Yes, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,,,,Medium,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1,1, ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,4,4,4,1,13,Theme Camp,,,,,,0.00%,30.77%,30.77%,30.77%,7.69%,,,,,,,,,1,,UB ,,,UB 
Penguins Bubble Bar (PBB),,,,50'x60' (3000 sq. ft.),50,60,,MZ MF FE , , , ,, , , ,Bar, , ,UnEvEn,Trees,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,3rd Choice,2nd Choice,,,1st Choice,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 2,2,SZ 2,,,,No,None,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Night (Midnight-Sunrise)",Morning (Sunrise-noon), , , , , , , ,1,1,1,1,1, , ,1,1, , , , ,2,1,1,1,2,7,Theme Camp,,,,,,28.57%,14.29%,14.29%,14.29%,28.57%,,,3,2,,,1,,,,MZ ,MF ,FE ,MZ MF FE 
Kinky Fucking Camp ,,,,50'x60' (3000 sq. ft.),50,60,,NP , , , ,, , , , , ,XXX,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,1st Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No,XXX,Yes, ,No, ,No,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 2,2,SZ 2,,,,No,"Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,20,Theme Camp,,,,,,20.00%,20.00%,20.00%,20.00%,20.00%,,,,,1,,,,,,NP ,,,NP 
Nebula Oasis,,,,30'x50' (1500 sq. ft.),30,50,,UB MZ RS , , ,Medium,, , , ,Bar, , ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,3rd Choice,2nd Choice,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,,,,Medium,None,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)", , , , , , , , ,1,1,1,1, , , ,1,1, , , ,2,2,0,1,1,6,Theme Camp,,,,,,33.33%,33.33%,0.00%,16.67%,16.67%,,,,,,3,2,,1,,UB ,MZ ,RS ,UB MZ RS 
You Are Here - Information Wharf,,,,30'x30' (900 sq. ft.),30,30,,FE UB MF , , , ,, , ,Kids+, , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,1st Choice,3rd Choice,,,,,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!", ,No, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", ,1,1,1, , ,1,1,1, , ,1,1,1, , ,1,1,1, ,0,4,4,4,0,12,Theme Camp,,,,,,0.00%,33.33%,33.33%,33.33%,0.00%,,,1,3,,,,,2,,FE ,UB ,MF ,FE UB MF 
Unicorn Ranch,,,,30'x50' (1500 sq. ft.),30,50,AfternoonEvening,MZ MF UB , , , ,Food, , ,Kids,Bar, , , , ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,,1st Choice,,3rd Choice,, ,No, ,No, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,Zone 2,2,SZ 2,Food,,,No,Late Afternoon (4pm-8pm),Evening (8pm-Midnight),"Afternoon (noon-4pm), Evening (8pm-Midnight)",Afternoon (noon-4pm), , ,1, , , , , ,1, , ,1, ,1, , ,1, , , ,0,2,1,2,0,5,Theme Camp,,Afternoon,,Evening,,0.00%,40.00%,20.00%,40.00%,0.00%,AfternoonEvening,AfternoonEvening,,2,,,1,,3,,MZ ,MF ,UB ,MZ MF UB 
The Secret of Mems,,,,30'x30' (900 sq. ft.),30,30,MorningAfternoon,FE , , , ,Food,Fire, , , , , ,UnEvEn,Trees,#N/A,#N/A,#N/A,,We will make it work!,1st Choice,,,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,#N/A,#N/A,#N/A,Food,,,,"Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)",1,1, , , ,1,1, , , ,1,1, , , ,1,1, , , ,4,4,0,0,0,8,Theme Camp,Morning,Afternoon,,,,50.00%,50.00%,0.00%,0.00%,0.00%,MorningAfternoon,MorningAfternoon,1,,,,,,,,FE ,,,FE 
Embassy ,,,,30'x50' (1500 sq. ft.),30,50,Work Support Camp,MF MZ RS , , , ,Food, , ,Kids, , , ,UnEvEn,Trees,#N/A,#N/A,#N/A,,We will make it work!,,1st Choice,,3rd Choice,2nd Choice,,,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,, ,No, ,,30'x50' (1500 sq. ft.),30',50' (1500 sq. ft.),30,50, (1500 sq. ft.),1500,#N/A,#N/A,#N/A,Food,,,,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,1,,3,2,,,,MF ,MZ ,RS ,MF MZ RS 
